lats,lons,names
67.43,86.48,"Yenisey at Igarka, Rus"
70.68,127.39,"Lena at Kusur, Russ"
66.63,66.6,"Ob at Salekhard,"
51.85,140.22,"Amur at Komsomolsk,"
67.45,-133.74,"Mackenzie at Arctic Red,"
61.93,-162.88,"Yukon at Pilot Stn,"
67.63,52.18,"Pechora at Oksino, Rus"
54.77,-97.93,Nelson at u/s Bladder
71.98,102.47,"Khatanga at Khatanga, R"
68.73,158.72,"Kolyma at Kolymskoye,"
64.13,41.92,"Severnaya Dvina at Ust Pinega,"
57.42,-69.25,Caniapiscau at Chute de la
61.87,-158.1,"Kuskokwim at Crooked Ck,"
51.33,-83.83,Albany at nr Hat Isla
66.6,82.28,"Taz at Sidorovsk,"
69.57,147.53,"Indigirka at Vorontsovo,"
56.7,-132.13,Stikine at nr Wrangell
52.24,-78.07,"Eastmain at tete de la,"
61.54,-150.51,Susitna at Susitna Stn
50.74,-81.45,Moose at Moose River
61.46,-144.45,"Copper at Chitina, AK"
71.85,123.65,"Olenek at 7.5 km d/s,"
51.44,-76.87,"Rupert at en aval du,"
70.77,136.08,"Yana at Ubileynaya,"
55.37,-88.32,Severn-CA at Limestone R
59.34,-157.47,"Nushagak at Ekwok, AK,"
67,78.22,"Pur at Samburg, Ru"
59.39,-138.08,"Alsek at nr Yakutat,"
65,45.62,Mezen at Malonisogor
65.62,72.67,"Nadym at Nadym, Russ"
56.43,-92.78,"Hayes, MB at d/s Gods Ri"
55.28,-77.58,GR Baleine at BALEINE (GR
58.64,-70.42,"Feuilles (R aux at en aval de,"
57.67,-69.61,"Melezes (R aux) at pres de la,"
58.12,-94.62,Churchill at abv.RED HEA
66.08,-96.51,Back at u/s Hermann
71.97,114.18,"Anabar at Saskylakh,"
54.51,-87.23,Winisk at d/s Ashewei
67.22,-115.88,"Coopermine at COPPERMINE,"
68.63,-128.41,Anderson at d/s Carnwat
55.28,-77.58,Baleine (R  la at pres de l'e
66.97,-160.13,"Kobuk at nr Kiana, A"
64.28,-20.17,Hvita (Olfusa) at Selfoss
52.08,-87.07,Attawapiskat at d/s Attawap
56.86,-76.2,Nastapoca at pres de l'e
56.52,-3.39,Tay at Ballathie
70.11,28.08,Tana (Teno) at Polmak
66.03,68.73,Poluy at Poluy
67.52,-94.05,Hayes at u/s Chantre
66.73,-108.8,Burnside at nr mouth
65.82,45.1,Peza at Igumnovo
62.34,-150.01,Talkeetna at Talkeetna R
65.5,-14.37,Lagarfljot at Lagarfoss
67.27,68.67,Shuch'ya at Shchuch'ye
68.45,35.33,Voroniya at Serebryansk
53.8,-84.92,Ekwan at d/s North W
67.7,-104.14,Ellice at nr mouth
64.29,-90.44,Lorillard at u/s Daly Ba
62.47,-95.05,Ferguson at d/s O'Neil
66.725839,34.292653,Umba at Payalka
66.4,36.3,Varzuga at Varzuga
69.17,154.5,Alazeya at Andrushkino
57.17,-133.11,Farragut at nr Petersbu
68.83,30.8,Kola at Oktyabrsky
68.53,174.15,Palyavaam at Palyavaam
70.28,-148.96,Kuparuk at nr Deadhors
69.31,-139.56,Firth at nr mouth
69.38,132.12,Omoloy at Namy
64.25,-20.53,Bruara at Efstidalur
67.63,-111.9,Tree at nr mouth
64.97,43.52,Kuloy at Kuloy
66.5,48.25,Pesha at Volokovaya
55.39,-131.19,Fish C Nr Ketch at AK
65.5,-19.4,Svarta at Reykjafoss
66.81,-107.1,Gordon at nr mouth
66.48,45.5,Sosnovka at Sosnovka